Sostav,Days,Concerts,Halls,Genre,ShowTime,TransTime,WaitTime,Costs,Musician,Composer,programm,FamilyConc,TransTime_%,WaitTime_%,TransTime_Score,WaitTime_Score,Trans-Wait_%,Density,HallChanges,Top5Authors,Top5AuthorsShare,RareAuthorsShare,RecommendedArtistsRatio,RecommendedPiecesRatio,ComfortScore,ComfortLevel,RareAuthorsShare_qnorm,RecommendedPiecesRatio_qnorm,RecommendedArtistsRatio_qnorm,AvgWorksPerConcert,DepthScore,GenreDiversityScore,IntellectScore,IntellectCategory,IntellectScoreLabel,AuthorBalance,ComfortScoreLabel,AuthorBalanceLabel,Top5AuthorsShareLabel,RareAuthorsShareLabel,GMM_Cluster
[24],1,1,1,1,45.0,0.0,0.0,200,2,2,3,0,51.7,51.7,48.3,48.3,23.3,0.0,0,3,1.0,0.0,0.5,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.3306936172455594,3.0,33.33333333333333,16.7,44.9,⚖️ Базовый,🎯 Интересный (60–90%),0.5,Недостаточно данных,,,,1
[25],1,1,1,1,45.0,0.0,0.0,200,1,1,1,0,51.7,51.7,48.3,48.3,23.3,0.0,0,0,0.0,0.0,1.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.9886417540715754,1.0,100.0,16.7,36.5,💤 Поверхностный,💤 Поверхностный (0–30%),0.0,Недостаточно данных,,,,0
[26],1,1,1,1,45.0,0.0,0.0,200,1,1,1,0,51.7,51.7,48.3,48.3,23.3,0.0,0,0,0.0,0.0,1.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.9886417540715754,1.0,100.0,16.7,36.5,💤 Поверхностный,💤 Поверхностный (0–30%),0.0,Недостаточно данных,,,,0
[27],1,1,1,1,45.0,0.0,0.0,200,1,6,6,0,51.7,51.7,48.3,48.3,23.3,0.0,0,3,0.5,0.0,1.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.9886417540715754,6.0,16.666666666666664,16.7,38.6,💤 Поверхностный,⚖️ Базовый (30–60%),0.25,Недостаточно данных,,,,0
[28],1,1,1,1,65.0,0.0,0.0,200,1,1,1,0,51.7,51.7,48.3,48.3,23.3,0.0,0,0,0.0,0.0,0.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.0004216518210088,1.0,100.0,16.7,24.1,💤 Поверхностный,💤 Поверхностный (0–30%),0.0,Недостаточно данных,,,,2
[29],1,1,1,1,120.0,0.0,0.0,200,7,1,1,0,51.7,51.7,48.3,48.3,23.3,0.0,0,1,1.0,0.0,0.429,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.1471433089126653,1.0,100.0,16.7,51.0,⚖️ Базовый,🧠 Насыщенный (Top 10%),0.5,Недостаточно данных,,,,1
[30],1,1,1,1,45.0,0.0,0.0,200,2,4,6,0,51.7,51.7,48.3,48.3,23.3,0.0,0,4,0.667,0.0,1.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.9886417540715754,6.0,16.666666666666664,16.7,42.8,⚖️ Базовый,⚖️ Базовый (30–60%),0.3335,Недостаточно данных,,,,1
"[1, 7]",1,2,2,1,90.0,7.0,45.0,400,2,2,3,1,62.9,13.9,37.1,86.1,31.9,0.0,1,2,0.667,0.0,0.5,0.0,51.8,🟡 Умеренный,0.2984372529383861,0.5000131766194065,0.3306936172455594,1.5,66.66666666666666,16.7,40.8,⚖️ Базовый,⚖️ Базовый (30–60%),0.3335,⚖️ Базовый (30–60%),,🎯 Интересный (60–90%),,0
"[1, 8]",1,2,1,1,90.0,0.0,75.0,400,3,1,4,0,8.0,25.1,92.0,74.9,68.9,0.0,0,4,1.0,0.0,0.333,0.0,86.9,🟢 Очень комфортный,0.2984372529383861,0.5000131766194065,0.0401096294734622,2.0,50.0,16.7,43.4,⚖️ Базовый,⚖️ Базовый (30–60%),0.5,🧠 Насыщенный (Top 10%),,🧠 Насыщенный (Top 10%),,4
"[1, 9]",1,2,2,1,90.0,11.0,75.0,400,2,3,6,0,88.0,25.1,12.0,74.9,9.0,0.0,1,4,0.667,0.0,0.5,0.0,30.9,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.3306936172455594,3.0,33.33333333333333,16.7,36.6,💤 Поверхностный,💤 Поверхностный (0–30%),0.3335,💤 Поверхностный (0–30%),,🎯 Интересный (60–90%),,2
